sample_rate,frame_size,case,baseline_spectral_lsd_db,spectral_lsd_db,baseline_envelope_lsd_db,envelope_lsd_db,baseline_rms_delta_db,rms_delta_db,baseline_target_comb_db,target_comb_db,baseline_old_family_leak_db,old_family_leak_db,baseline_double_family_risk,double_family_risk,transient_peak_error_ms,transient_width_error_ms,highband_flatness_error
48000,128,clean_vowel_7_6,9.794630844663782,9.794630844663786,5.927411200569694,5.927411200569694,0.020903079512763562,0.020903079512763562,5.294556078456141,5.294556078456153,-3.7453163985261306,-3.7453163985261337,0.2968400455128171,0.296840045512817,0.0,0.0,0.0
48000,128,breathy_vowel_19edo,8.573173426712636,8.573173426712637,4.210958355189411,4.21095835518941,0.005984875009651978,0.005984875009651978,4.7743531880406875,4.774353188040688,-11.821545860710758,-11.82154586071076,0.0616869330164808,0.061686933016480774,0.0,0.0,0.14661197250305547
48000,128,consonant_vowel,9.663992740366282,9.663992740366282,6.951127830548788,6.951127830548788,-0.0133207259942082,-0.0133207259942082,9.830062239657329,9.830062239657336,-5.3424179129777984,-5.342417912977812,0.2261574161020231,0.22615741610202256,0.0,0.645833333333333,0.1008353369713334
48000,128,vibrato_19edo,10.186088662801973,10.186088662801973,8.408477635553297,8.408477635553293,-0.05691591387421275,-0.05691591387421275,4.465937820662667,4.465937820662665,-5.617163209964464,-5.617163209964463,0.2152779445165227,0.21527794451652274,0.0,0.0,0.0
48000,128,missing_fundamental,8.988594455674823,8.988594455674818,5.451379127263194,5.451379127263191,-0.12885878374061394,-0.12885878374061394,2.7219635575207644,2.7219635575207586,-1.2806733864316846,-1.2806733864316842,0.42680812987333655,0.4268081298733366,0.0,0.0,0.0
48000,128,two_voice_polyphony,9.790558854369936,9.790558854369934,3.4776852831157363,3.4776852831157354,-0.07015016697819923,-0.07015016697819923,3.340034487235467,3.3400344872354606,-4.614813800972642,-4.614813800972632,0.25681287695750493,0.2568128769575053,0.0,0.0,0.0
48000,128,aperiodic_air,0.1272910086005601,0.1272910086005601,0.15509735184803933,0.15509735184803933,1.1188219680108015e-05,1.1188219680108015e-05,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.00010093953327450222
48000,256,clean_vowel_7_6,9.540892301217347,7.963537760535639,4.596366439774363,4.342090597751353,-0.2061433470861521,0.004834779931528817,13.076112221132853,20.524736191237086,-12.911850494872184,-21.085054682805833,0.048657719347273407,0.0077290269005704185,0.0,0.0,0.0
48000,256,breathy_vowel_19edo,9.19912002905241,8.8182924962953,3.3979041974619606,3.2564869450643004,-3.2330956742707677,0.05149337354334833,4.077409899217728,8.925919889573162,-9.274615835852753,-11.960273078907479,0.10568839067339778,0.05986369456239803,0.0,0.0,0.06006731437774582
48000,256,consonant_vowel,10.322089138972563,8.791642467959775,5.015795025469014,4.967194767946341,0.05652435256918182,-0.03349141969409075,6.978745613251383,15.74012429551411,-6.388742192964084,-14.694796419178296,0.18678121033626388,0.03281189439109584,0.7708333333333334,1.0,0.09171350727510286
48000,256,vibrato_19edo,12.27732916530133,11.67557546129708,5.548789531603618,5.78821062726346,-6.363615356735753,-0.11190014176428403,3.5417514406247204,8.287333795422818,-4.89625748288719,-12.488968971389665,0.24464032624203255,0.05336839045175843,0.0,0.0,0.0
48000,256,missing_fundamental,8.43441299604737,8.434412996047367,3.969359478052134,3.9693594780521333,0.04055595322568633,0.04055595322568633,16.95198460111537,16.951984601115377,-19.07368376240707,-19.07368376240708,0.01222613411121006,0.01222613411121004,0.0,0.0,0.0
48000,256,two_voice_polyphony,9.292467140398715,8.618107927443631,3.2546034881585384,3.4284351981996473,-1.6069501068833763,-0.06889199356656824,4.579058172531372,4.368452036078336,-4.697973601780989,-6.272527193881688,0.2531752911377073,0.19087992552345623,0.0,0.0,0.0
48000,256,aperiodic_air,0.050375673316951176,0.050375673316951176,0.04602781449260438,0.04602781449260438,1.167603555865335e-05,1.167603555865335e-05,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,1.5216650111060659e-05
48000,512,clean_vowel_7_6,8.894033634518438,8.89403363451844,3.9743633144573134,3.974363314457315,-0.056717517283385116,-0.05671751728338609,30.46951412599768,30.469514125997673,-31.779177431408563,-31.779177431408545,0.0006634283681211068,0.0006634283681211095,0.0,0.0,0.0
48000,512,breathy_vowel_19edo,11.080004203809029,11.080266166110137,5.450844725602757,5.450875011057238,0.10174569515426168,0.10164833076916278,7.194339439213034,7.192000719120189,-8.053182187520225,-8.05253954413035,0.13536721130452806,0.13538453156222163,0.0,0.0,0.15431583796377335
48000,512,consonant_vowel,8.044529513482557,8.044529513482557,3.4293558983937733,3.4293558983937693,0.002918567105382875,0.002918567105382875,24.801700614012848,24.801700614012873,-26.484487669106688,-26.484487669106766,0.0022416953158860193,0.0022416953158859803,0.7708333333333334,1.729166666666667,0.07207614095717335
48000,512,vibrato_19edo,11.961004969946694,11.961004969946698,4.862518445960893,4.862518445960893,-0.1556674208102554,-0.1556674208102554,14.399979326978297,14.399979326978297,-18.91503683715352,-18.915036837153515,0.012675244419202895,0.012675244419202902,0.0,0.0,0.0
48000,512,missing_fundamental,7.751063863452788,7.5109828841534965,4.052456777913161,4.5337626695889925,0.08312762698964818,0.12732612642614835,12.000073322957219,21.148431919070763,-11.483744713521224,-22.89965046624135,0.06634553594062274,0.0051028539496161575,0.0,0.0,0.0
48000,512,two_voice_polyphony,9.523150256228158,9.326095499901955,3.0001810299240814,2.8532307634370215,0.12250047999717095,0.12661951950224662,10.007109265860048,9.78916696907691,-9.755468180051244,-9.701690258859275,0.09567086584055982,0.09674757946444167,0.0,0.0,0.0
48000,512,aperiodic_air,0.025185391307009718,0.025185391307009718,0.017690647508201263,0.017690647508201263,1.0275458700501105e-05,1.0275458700501105e-05,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,6.859424007032988e-05
